Role,Minimum Basic Day Rate,Maximum Basic Day Rate,OT Grade,OT Coefficient,Basic Hourly Rate BHR,Double Hourly Rate 2xBHR,Triple Hourly Rate 3xBHR,Standard Hourly Overtime
Director,N/A,£961,N/A,,,,,
Casting Director **,£675,£878,please see session fees & prep fees details below,,,,,
1st Assistant Director,N/A,£809,Grade III,1.0,£81,£162,£243,£81
2nd Assistant Director,£355,£448,Grade I,1.5,£45,£90,£134,£67
3rd Assistant Director,£308,£336,Grade I,1.5,£34,£67,£101,£50
Floor Runner / AD Trainee *,N/A,£245,Overtime as below,,,,,
Production Runner *,N/A,£245,Overtime as below,,,,,
Script Supervisor,£462,£575,Grade II,1.25,£58,£115,£173,£72
Producer,N/A,£961,N/A,,,,,
Production Manager *,£504,£627,Overtime as below,,,,,
Location Manager,£504,£597,Grade II,1.25,£60,£119,£179,£75
Production Assistant*,£350,£441,Overtime as below,,,,,
Director Of Photography,£935,"£1,561",Grade III,1.0,£156,£312,£468,£156
Camera Operator,£529,£656,Grade II,1.25,£66,£131,£197,£82
Focus Puller (1st AC),£461,£575,Grade II,1.25,£58,£115,£173,£72
Clapper Loader,£355,£448,Grade I,1.5,£45,£90,£134,£67
DIT,N/A,£527,Grade II,1.25,£53,£105,£158,£66
Key Grip or has NVQ3,N/A,£575,Grade II,1.25,£58,£115,£173,£72
Non Key Grip,N/A,£526,Grade II,1.25,£53,£105,£158,£66
Senior Video Operator,N/A,£518,Grade II,1.25,£52,£104,£155,£65
Video Operator,£334,£403,Grade I,1.5,£40,£81,£121,£60
Gaffer,N/A,£585,Grade II,1.25,£59,£117,£176,£73
Lighting Technician,N/A,£457,Grade I,1.5,£46,£91,£137,£69
Advanced Rigger,£341,£398,Grade I,1.5,£40,£80,£119,£60
Basic Rigger,£336,£355,Grade I,1.5,£36,£71,£107,£53
Programmable Lighting Desk Op.***,£389,£527,Grade II,1.25,£53,£105,£158,£66
SFX Supervisor,£963,"£1,561",Grade III,1.0,£156,£312,£468,£156
Sr. SFX Technician,£541,£668,Grade II,1.25,£67,£134,£200,£84
SFX Technician,£431,£535,Grade II,1.25,£54,£107,£161,£67
SFX Assistant,£356,£448,Grade I,1.5,£45,£90,£134,£67
Model Animator,£629,£820,Grade III,1.0,£82,£164,£246,£82
Model Animator Asst.,£462,£575,Grade II,1.25,£58,£115,£173,£72
Art Director,£675,£878,Grade III,1.0,£88,£176,£263,£88
Asst. Art Director,£493,£585,Grade II,1.25,£59,£117,£176,£73
Stylist,£519,£647,Grade II,1.25,£65,£129,£194,£81
Props Buyer,£493,£585,Grade II,1.25,£59,£117,£176,£73
Master Props,£414,£521,Grade II,1.25,£52,£104,£156,£65
Props,£341,£398,Grade I,1.5,£40,£80,£119,£60
Props Assistant,£272,£319,Grade I,1.5,£32,£64,£96,£48
Construction Manager,£440,£548,Grade II,1.25,£55,£110,£164,£69
Master Painter,£407,£512,Grade II,1.25,£51,£102,£154,£64
Painter,£341,£398,Grade I,1.5,£40,£80,£119,£60
Master Carpenter,£407,£512,Grade II,1.25,£51,£102,£154,£64
Carpenter,£341,£398,Grade I,1.5,£40,£80,£119,£60
Master Plaster,£407,£512,Grade II,1.25,£51,£102,£154,£64
Plasterer,£341,£398,Grade I,1.5,£40,£80,£119,£60
Scenic Artist,£553,£735,Grade III,1.0,£74,£147,£221,£74
Standby Construction,£341,£398,Grade I,1.5,£40,£80,£119,£60
Home Economist,£541,£668,Grade II,1.25,£67,£134,£200,£84
Stage Hand,£316,£370,Grade I,1.5,£37,£74,£111,£56
Labourer,£256,£308,Grade I,1.5,£31,£62,£92,£46
Driver,£256,£308,Grade I,1.5,£31,£62,£92,£46
Sound Mixer,£541,£668,Grade II,1.25,£67,£134,£200,£84
Boom Operator,£432,£535,Grade II,1.25,£54,£107,£161,£67
Sound Maintenance,£356,£436,Grade I,1.5,£44,£87,£131,£65
Sound Assistant,£334,£403,Grade I,1.5,£40,£81,£121,£60
Costume Designer,£562,£694,Grade II,1.25,£69,£139,£208,£87
Wardrobe Buyer,£562,£694,Grade II,1.25,£69,£139,£208,£87
Wardrobe,£341,£398,Grade I,1.5,£40,£80,£119,£60
Chief Make Up Artist,£541,£668,Grade II,1.25,£67,£134,£200,£84
Make Up,£341,£398,Grade I,1.5,£40,£80,£119,£60
Chief Hair Designer,£541,£668,Grade II,1.25,£67,£134,£200,£84
Hairdresser,£341,£398,Grade I,1.5,£40,£80,£119,£60
Covid Supervisor,N/A,£448,Grade I,1.5,£45,£90,£134,£67
