Record ID,Source Row ID,Record Kind,Department,Role,Production Type,Budget Band,Rate Type,Experience Level,Rate Value,Rate Text,Currency,Rate Unit,Holiday Pay Treatment,Other Component,Source PDF,Source Page,Source Table / Section,Source Notes,Extraction Status
RR000001,SR00001,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 1,Weekly minimum,,2500,,GBP,week,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000002,SR00001,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 2,Weekly minimum,,3000,,GBP,week,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000003,SR00001,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 3,Weekly minimum,,3400,,GBP,week,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000004,SR00001,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 4,Weekly minimum,,,Negotiation,GBP,week,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000005,SR00002,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 1,Daily equivalent,,500,,GBP,day,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000006,SR00002,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 2,Daily equivalent,,600,,GBP,day,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000007,SR00002,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 3,Daily equivalent,,680,,GBP,day,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000008,SR00002,Base / package rate,Assistant Directors,1st Assistant Director,TV Drama,TV Band 4,Daily equivalent,,,Negotiation,GBP,day,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,TV/Streaming,10-hour day / 50-hour week; excludes holiday pay and prep/wrap hour,Verified
RR000009,SR00003,Base / package rate,Assistant Directors,1st Assistant Director,Film,MMP (£30m+),Weekly minimum,,,Negotiation,GBP,week,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,Film low-budget bands and MMP,"<£5m, <£10m, <£30m use 10-hour day/50-hour week; MMP uses 55-hour week. Excludes holiday pay.",Verified
RR000010,SR00003,Base / package rate,Assistant Directors,1st Assistant Director,Film,Film Indie / Feature,Weekly minimum,,3100,,GBP,week,Excluded,,Bectu-Assistant-Directors-Rate-Card-1-May-2026.pdf,1,Film low-budget bands and MMP,"<£5m, <£10m, <£30m use 10-hour day/50-hour week; MMP uses 55-hour week. Excludes holiday pay.",Verified
